,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_800,Fungi,Ascomycota,Dothideomycetes,Dothideomycetidae_ord_Incertae_sedis,Pseudoperisporiaceae,Eudimeriolum,septentrionale,FOTU_800,Eudimeriolum_septentrionale,FOTU_800_Eudimeriolum_septentrionale
FOTU_801,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Tremateia,chromolaenae,FOTU_801,Tremateia_chromolaenae,FOTU_801_Tremateia_chromolaenae
FOTU_802,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Alatosessilispora,unidentified,FOTU_802,Alatosessilispora,FOTU_802_Alatosessilispora
FOTU_803,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Crassiparies,quadrisporus,FOTU_803,Crassiparies_quadrisporus,FOTU_803_Crassiparies_quadrisporus
FOTU_804,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_804,unidentified,FOTU_804_unidentified
FOTU_805,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,sacchari,FOTU_805,Taphrina_sacchari,FOTU_805_Taphrina_sacchari
FOTU_806,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_806,unidentified,FOTU_806_unidentified
FOTU_807,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,unidentified,FOTU_807,Trametes,FOTU_807_Trametes
FOTU_808,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_808,unidentified,FOTU_808_unidentified
FOTU_809,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Perenniporia,narymica,FOTU_809,Perenniporia_narymica,FOTU_809_Perenniporia_narymica
